fechaHora,MW,MW_P
2020-03-02 05:00:00.0,1091.69,1214.51
2020-03-03 04:00:00.0,999.62,1085.72
2020-03-03 06:00:00.0,1346.25,1345.90
2020-03-03 12:00:00.0,1589.61,1579.10
2020-03-03 14:00:00.0,1587.96,1594.01
2020-03-04 03:00:00.0,1006.18,981.92
2020-03-04 05:00:00.0,1187.40,1278.10
2020-03-05 06:00:00.0,1352.15,1382.71
2020-03-05 08:00:00.0,1425.90,1445.54
2020-03-05 14:00:00.0,1627.58,1588.92
2020-03-05 22:00:00.0,1335.25,1257.12
2020-03-06 03:00:00.0,999.70,1009.92
2020-03-06 18:00:00.0,1485.84,1700.78
2020-03-06 19:00:00.0,1608.01,1671.92
2020-03-07 08:00:00.0,1361.54,1374.80
2020-03-07 22:00:00.0,1259.28,1191.81
2020-03-08 12:00:00.0,1409.49,1390.25
2020-03-08 18:00:00.0,1309.65,1441.15
2020-03-08 19:00:00.0,1465.03,1447.62
2020-03-08 20:00:00.0,1398.74,1393.91
2020-03-09 02:00:00.0,896.12,910.20
2020-03-09 13:00:00.0,1582.84,1579.58
2020-03-09 21:00:00.0,1480.92,1393.81
2020-03-10 04:00:00.0,1006.19,1078.44
2020-03-10 12:00:00.0,1620.49,1573.96
2020-03-10 20:00:00.0,1587.90,1570.14
2020-03-11 02:00:00.0,993.62,966.80
2020-03-11 13:00:00.0,1616.88,1587.23
2020-03-11 21:00:00.0,1502.67,1382.89
2020-03-12 04:00:00.0,1036.30,1099.92
2020-03-12 06:00:00.0,1340.34,1365.10
2020-03-12 14:00:00.0,1621.54,1600.73
2020-03-13 07:00:00.0,1355.56,1408.91
2020-03-14 06:00:00.0,1050.99,1149.89
2020-03-14 08:00:00.0,1366.17,1414.09
2020-03-14 14:00:00.0,1506.77,1438.88
2020-03-14 22:00:00.0,1283.92,1194.03
2020-03-15 01:00:00.0,989.12,974.57
2020-03-15 07:00:00.0,1022.96,1114.42
2020-03-15 09:00:00.0,1274.06,1310.78
2020-03-16 08:00:00.0,1391.41,1416.00
2020-03-17 00:00:00.0,1086.82,1011.82
2020-03-17 07:00:00.0,1299.73,1386.12
2020-03-17 17:00:00.0,1509.29,1464.42
2020-03-18 01:00:00.0,997.68,1020.00
2020-03-18 09:00:00.0,1484.04,1503.73
2020-03-18 10:00:00.0,1500.21,1514.81
2020-03-19 00:00:00.0,1065.46,1025.00
2020-03-19 07:00:00.0,1261.76,1349.72
2020-03-19 16:00:00.0,1555.30,1557.22
2020-03-19 18:00:00.0,1533.72,1667.00
2020-03-20 01:00:00.0,1007.69,1008.98
2020-03-20 09:00:00.0,1446.75,1496.98
2020-03-20 10:00:00.0,1504.44,1535.89
2020-03-21 05:00:00.0,997.05,1061.13
2020-03-21 07:00:00.0,1092.38,1298.90
2020-03-21 16:00:00.0,1388.90,1393.06
2020-03-21 18:00:00.0,1408.57,1545.00
2020-03-22 17:00:00.0,1234.96,1264.79
2020-03-23 05:00:00.0,965.54,1082.12
2020-03-23 23:00:00.0,1109.40,1088.04
2020-03-24 17:00:00.0,1443.37,1380.93
2020-03-25 06:00:00.0,1071.51,1134.11
2020-03-25 14:00:00.0,1567.76,1500.95
2020-03-25 23:00:00.0,1117.53,1064.92
2020-03-26 00:00:00.0,1031.99,998.50
2020-03-26 07:00:00.0,1187.07,1276.90
2020-03-27 06:00:00.0,1028.18,1134.10
2020-03-27 14:00:00.0,1536.51,1543.91
2020-03-27 22:00:00.0,1253.06,1181.63
2020-03-28 00:00:00.0,1055.87,1019.10
2020-03-28 05:00:00.0,998.33,977.32
2020-03-28 07:00:00.0,1083.06,1160.11
2020-03-28 16:00:00.0,1357.20,1376.93
2020-03-28 18:00:00.0,1417.45,1515.29
2020-03-29 11:00:00.0,1298.68,1349.92
2020-03-29 15:00:00.0,1277.21,1260.62
2020-03-29 22:00:00.0,1127.17,1076.83
2020-03-30 05:00:00.0,964.35,976.38
2020-03-30 16:00:00.0,1456.85,1444.02
2020-03-30 18:00:00.0,1484.29,1573.20
2020-03-30 23:00:00.0,1097.35,1064.89
2020-03-31 02:00:00.0,937.78,946.31
2020-03-31 11:00:00.0,1523.15,1570.32
2020-03-31 15:00:00.0,1494.92,1518.85
2020-04-01 23:00:00.0,1098.70,1053.11
2020-04-02 02:00:00.0,936.10,928.12
2020-04-02 12:00:00.0,1591.83,1602.33
2020-04-02 20:00:00.0,1497.28,1443.13
2020-04-03 06:00:00.0,1027.20,1096.13
2020-04-03 14:00:00.0,1510.80,1495.22
2020-04-04 03:00:00.0,931.36,965.32
2020-04-04 04:00:00.0,951.05,993.18
2020-04-04 12:00:00.0,1492.64,1528.76
2020-04-04 20:00:00.0,1413.25,1397.93
2020-04-05 06:00:00.0,835.77,891.03
2020-04-05 11:00:00.0,1249.93,1349.93
2020-04-05 14:00:00.0,1311.94,1301.00
2020-04-05 22:00:00.0,1128.55,1074.12
2020-04-06 03:00:00.0,882.53,888.99
2020-04-06 04:00:00.0,899.72,944.80
2020-04-06 13:00:00.0,1454.22,1514.20
2020-04-06 19:00:00.0,1538.84,1537.91
2020-04-06 21:00:00.0,1359.68,1278.70
2020-04-07 11:00:00.0,1423.11,1474.81
2020-04-07 15:00:00.0,1404.72,1371.76
